SL001;CL01;PR100;12.05.2023;1200.00;1
SL002;CL02;PR101;13.05.2023;1580.00;1
SL003;CL01;PR301;14.05.2023;165.00;2
SL004;CL04;PR102;15.05.2023;890.00;1
SL005;CL05;PR104;16.05.2023;1420.00;1
SL006;CL06;PR200;17.05.2023;320.00;2
SL007;CL07;PR300;18.05.2023;150.00;1
SL008;CL08;PR202;19.05.2023;500.00;1
SL009;CL09;PR204;20.05.2023;370.00;1
SL010;CL010;PR302;21.05.2023;180.00;1
SL011;CL011;PR103;22.05.2023;1340.00;1
SL012;CL012;PR303;23.05.2023;90.00;1
SL013;CL013;PR304;24.05.2023;75.00;2
SL014;CL014;PR203;25.05.2023;390.00;1
SL015;CL015;PR201;26.05.2023;450.00;1
SL016;CL018;PR303;16.05.2025;90.00;23
